#I dec femminili
ancella:ancilla,ancillae
aquila:aquila,aquilae
altare:ara,arae
colomba:columba,columbae
corona:corona,coronae
dea:dea,deae
Diana:Diana,Dianae
scolara:discipula,discipulae
padrona:domina,dominae
figlia:filia,filiae
gloria:gloria,gloriae
vittima:hostia,hostiae
isola:insula,insulae
maestra:magistra,magistrae
Minerva:Minerva,Minervae
patria:patria,patriae
tempesta:procella,procellae
prudenza:prudentia,prudentiae
fanciulla:puella,puellae
battaglia:pugna,pugnae
sapienza:sapientia,sapientiae
selva:silva,silvae
stella:stella,stellae
terra:terra,terrae
ombra:umbra,umbrae
villa:villa,villae
fattoria:villa,villae
amicizia:amicitia,amicitiae
acqua:aqua,aquae
audacia:audacia,audaciae
causa:causa,causae
concordia:concordia,concordiae
preoccupazione:cura,curae
diligenza:diligenza,diligenzae
lettera:epistula,epistulae
formica:formica,formicae
fortuna:fortuna,fortunae
Grecia:Graecia,Graeciae
erba:herba,herbae
storia:historia,historiae
operosita':industria,industriae
offesa:iniuria,iniuriae
Italia:Italia,Italiae
giustizia:iustitia,iustitiae
letizia:laetitia,laetitiae
gioia:laetitia,laetitiae
luna:luna,lunae
molestia:molestia,molestiae
pazienza:patientia,patientiae
denaro:pecunia,pecuniae
riva:ripa,ripae
rosa:rosa,rosae
freccia:sagitta,sagittae
Sardegna:Sardinia,Sardiniae
scuola:scuola,scuolae
pugnale:sica,sicae
Sicilia:Sicilia,Siciliae
onda:unda,undae
perdono:venia,veniae
viola:viola,violae
avversa:adversa,adversae
sfavorevole:adversa,adversae
eterna:aeterna,aeternae
bianca:alba,albae
profonda:alta,altae
antica:antiqua,antiquae
beata:beata,beatae
buona:bona,bonae
cara:cara,carae
grata:grata,gratae
onesta:honesta,honestae
incerta:incerta,incertae
giusta:iusta,iustae
lieta:laeta,laetae
limpida:limpida,limpidae
lunga:longa,longae
grande:magna,magnae
meravigliosa:mira,mirae
straordinaria:mira,mirae
molta:multa,multae
nera:nigra,nigrae
nociva:noxia,noxiae
piccola:parva,parvae
pigra:pigra,pigrae
piena:plena,plenae
propizia:propitia,propitiae
bella:pulchra,pulchrae
rossa:rubra,rubrae
crudele:saeva,saevae
diligente:sedula,sedulae
severa:severa,severae
improvvisa:subita,subitae
tacita:tacita,tacitae
tenera:tenera,tenerae
forziere:arca,arcae
atleta:athleta,athletae
aria:aura,aurae
avarizia:avaritia,avaritiae
nonna:avia,aviae
cicogna:ciconia,ciconiae
quantita':copia,copiae
favola:fabula,fabulae
finestra:fenestra,fenestrae
fiera:fera,ferae
fiamma:flamma,flammae
invidia:invidia,invidiae
lacrima:lacrima,lacrimae
usignolo:luscinia,lusciniae
merlo:merula,merulae
nebbia:nebula,nebulae
annuncio:notitia,notitiae
ninfa:nympha,nymphae
pianta:planta,plantae
pioggia:pluvia,pluviae
crudelta':saevitia,saevitiae
tromba:tuba,tubae
uva:uva,uvae
via:via,viae
fattoressa:villica,villicae


#I dec maschili
contadino:agricola,agricolae
cocchiere:auriga,aurigae
abitante:incola,incolae
marinaio:nauta,nautae
pirata:pirata,piratae
poeta:poeta,poetae
scrivano:scriba,scribae
buffone:scurra,scurrae
ricordo:memoria,memoriae
